,parent_image,image,link,description type,
90059,mongo,webhippie/mongodb,https://hub.docker.com/r/webhippie/mongodb,good,
70405,mongo,geschke/mongodb,https://hub.docker.com/r/geschke/mongodb,weak,
55535,java,sofitlabs/java,https://hub.docker.com/r/sofitlabs/java,no,
126941,nginx,anvilresearch/nginx,https://hub.docker.com/r/anvilresearch/nginx,no,
62894,mongo,brunohenrique/mongodb,https://hub.docker.com/r/brunohenrique/mongodb,no,
89108,mongo,voidbridge/mongo,https://hub.docker.com/r/voidbridge/mongo,no,
108203,mysql,klemenb/mysql,https://hub.docker.com/r/klemenb/mysql,weak,
73406,mongo,jkcjkc82/mongodb,https://hub.docker.com/r/jkcjkc82/mongodb,no,
129470,nginx,brianmorgan/nginx,https://hub.docker.com/r/brianmorgan/nginx,no,
77047,mongo,makeusabrew/mongodb,https://hub.docker.com/r/makeusabrew/mongodb,no,
46131,java,graviteeio/java,https://hub.docker.com/r/graviteeio/java,no,
70539,mongo,getteaminsight/mongodb,https://hub.docker.com/r/getteaminsight/mongodb,no,
5872,cassandra,calliope/cassandra,https://hub.docker.com/r/calliope/cassandra,weak,
142991,nginx,rgrmarketing/nginx,https://hub.docker.com/r/rgrmarketing/nginx,no,
77504,mongo,matuskocka/mongodb,https://hub.docker.com/r/matuskocka/mongodb,good,
64150,mongo,chromko/mongodb,https://hub.docker.com/r/chromko/mongodb,no,
91947,mysql,appsdeck/mysql,https://hub.docker.com/r/appsdeck/mysql,no,
146022,nginx,weldpua2008/nginx,https://hub.docker.com/r/weldpua2008/nginx,good,
144257,nginx,stickee/nginx,https://hub.docker.com/r/stickee/nginx,no,
111248,mysql,marcialr/mysql,https://hub.docker.com/r/marcialr/mysql,no,
125619,mysql,zolotoykod/mysql,https://hub.docker.com/r/zolotoykod/mysql,weak,
111898,mysql,maxking/mysql,https://hub.docker.com/r/maxking/mysql,weak,
73304,mongo,jianhao/mongodb,https://hub.docker.com/r/jianhao/mongodb,no,
140452,nginx,olcms/nginx,https://hub.docker.com/r/olcms/nginx,no,
48445,java,incodehq/java,https://hub.docker.com/r/incodehq/java,no,
144139,nginx,sphericaldefence/nginx,https://hub.docker.com/r/sphericaldefence/nginx,no,
125854,nginx,3bagels/nginx,https://hub.docker.com/r/3bagels/nginx,weak,
93427,mysql,ausybe/mysql,https://hub.docker.com/r/ausybe/mysql,no,
119851,mysql,starlkj/mysql,https://hub.docker.com/r/starlkj/mysql,no,
3156,cassandra,arhea/cassandra,https://hub.docker.com/r/arhea/cassandra,good,
80275,mongo,peerlibrary/mongodb,https://hub.docker.com/r/peerlibrary/mongodb,no,
126028,nginx,adiwitcoth/nginx,https://hub.docker.com/r/adiwitcoth/nginx,good,
130964,nginx,desertbit/nginx,https://hub.docker.com/r/desertbit/nginx,good,
60779,mongo,angrimoz/mongodb,https://hub.docker.com/r/angrimoz/mongodb,no,
134924,nginx,iacopo/nginx,https://hub.docker.com/r/iacopo/nginx,no,
111007,mysql,maco222/mysql,https://hub.docker.com/r/maco222/mysql,no,
25118,cassandra,ocaner/cassandra,https://hub.docker.com/r/ocaner/cassandra,no,
55703,java,szewec/java,https://hub.docker.com/r/szewec/java,weak,
109894,mysql,linuxserver/mysql,https://hub.docker.com/r/linuxserver/mysql,good,
138314,nginx,magarvey/nginx,https://hub.docker.com/r/magarvey/nginx,no,
110272,mysql,livingobjects/mysql,https://hub.docker.com/r/livingobjects/mysql,good,
100161,mysql,endrjuskr/mysql,https://hub.docker.com/r/endrjuskr/mysql,weak,
100140,mysql,emdzej/mysql,https://hub.docker.com/r/emdzej/mysql,no,
133598,nginx,ginolegaltechparis/nginx,https://hub.docker.com/r/ginolegaltechparis/nginx,good,
89785,mongo,wangzldocker/mongodb,https://hub.docker.com/r/wangzldocker/mongodb,no,
92543,mysql,asekuro/mysql,https://hub.docker.com/r/asekuro/mysql,no,
101147,mysql,floulab/mysql,https://hub.docker.com/r/floulab/mysql,no,
112013,mysql,mazdahws/mysql,https://hub.docker.com/r/mazdahws/mysql,no,
140478,nginx,omneedia/nginx,https://hub.docker.com/r/omneedia/nginx,no,
129919,nginx,cloneme/nginx,https://hub.docker.com/r/cloneme/nginx,no,
111447,mysql,marouen/mysql,https://hub.docker.com/r/marouen/mysql,no,
145141,nginx,tutum/nginx,https://hub.docker.com/r/tutum/nginx,good,
133845,nginx,gregbk/nginx,https://hub.docker.com/r/gregbk/nginx,no,
1578,cassandra,akhs/cassandra,https://hub.docker.com/r/akhs/cassandra,no,
82433,mongo,romaincottechauffeurprive/mongo,https://hub.docker.com/r/romaincottechauffeurprive/mongo,no,
15809,cassandra,jimthedev/cassandra,https://hub.docker.com/r/jimthedev/cassandra,weak,
33070,cassandra,teja0957/cassandra,https://hub.docker.com/r/teja0957/cassandra,no,
132657,nginx,fgaudin/nginx,https://hub.docker.com/r/fgaudin/nginx,good,
39773,java,bigvikinggames/java,https://hub.docker.com/r/bigvikinggames/java,no,
90357,mongo,xemuliam/mongo,https://hub.docker.com/r/xemuliam/mongo,good,
72658,mongo,jcdecaux/mongodb,https://hub.docker.com/r/jcdecaux/mongodb,no,
62851,mongo,brickr/mongodb,https://hub.docker.com/r/brickr/mongodb,no,
133739,nginx,gjchen/nginx,https://hub.docker.com/r/gjchen/nginx,good,
135247,nginx,icebear8/nginx,https://hub.docker.com/r/icebear8/nginx,no,
84792,mongo,sscpac/mongo,https://hub.docker.com/r/sscpac/mongo,no,
69745,mongo,frodenas/mongodb,https://hub.docker.com/r/frodenas/mongodb,good,
105210,mysql,ilios/mysql,https://hub.docker.com/r/ilios/mysql,good,
80887,mongo,pulp/mongodb,https://hub.docker.com/r/pulp/mongodb,no,
73970,mongo,k200user/mongodb,https://hub.docker.com/r/k200user/mongodb,no,
100108,mysql,edel/mysql,https://hub.docker.com/r/edel/mysql,no,
91428,mysql,aimakun/mysql,https://hub.docker.com/r/aimakun/mysql,no,
66657,mongo,e96tech/mongo,https://hub.docker.com/r/e96tech/mongo,good,
6990,cassandra,codemonkeyai/cassandra,https://hub.docker.com/r/codemonkeyai/cassandra,no,
130499,nginx,darron/nginx,https://hub.docker.com/r/darron/nginx,no,
104641,mysql,horx/mysql,https://hub.docker.com/r/horx/mysql,weak,
108941,mysql,kursatkeles/mysql,https://hub.docker.com/r/kursatkeles/mysql,no,
114042,mysql,nasqueron/mysql,https://hub.docker.com/r/nasqueron/mysql,good,
141400,nginx,pingpongpulse/nginx,https://hub.docker.com/r/pingpongpulse/nginx,no,
107576,mysql,karun74/mysql,https://hub.docker.com/r/karun74/mysql,no,
131373,nginx,dockette/nginx,https://hub.docker.com/r/dockette/nginx,good,
144551,nginx,tianon/nginx,https://hub.docker.com/r/tianon/nginx,no,
146587,nginx,willfarrell/nginx,https://hub.docker.com/r/willfarrell/nginx,good,
96246,mysql,cloudr/mysql,https://hub.docker.com/r/cloudr/mysql,no,
141424,nginx,pixelfordinner/nginx,https://hub.docker.com/r/pixelfordinner/nginx,no,
61837,mongo,binsix/mongodb,https://hub.docker.com/r/binsix/mongodb,good,
136915,nginx,konstruktoid/nginx,https://hub.docker.com/r/konstruktoid/nginx,weak,
114159,mysql,navyateja/mysql,https://hub.docker.com/r/navyateja/mysql,weak,
101027,mysql,fisbo/mysql,https://hub.docker.com/r/fisbo/mysql,weak,
113264,mysql,mjrone/mysql,https://hub.docker.com/r/mjrone/mysql,no,
69522,mongo,finboxio/mongo,https://hub.docker.com/r/finboxio/mongo,no,
6416,cassandra,christobill/cassandra,https://hub.docker.com/r/christobill/cassandra,weak,
